name,value
New York,813669
Philadelphia,565529
Brooklyn,266661
Baltimore,212418
Boston,177840
New Orleans,168675
Cincinnati,161044
St. Louis,160773
Chicago,112172
Buffalo,81129
Newark,71941
Louisville,68033
Albany,62367
Washington,61122
San Francisco,56802
Providence,50666
Pittsburgh,49221
Rochester,48204
Detroit,45619
Milwaukee,45246
Cleveland,43417
Charleston,40522
New Haven,39267
Troy,39235
Richmond,37910
Lowell,36827
Mobile,29258
Jersey City,29226
Allegheny,28702
Syracuse,28119
Hartford,26917
Portland,26341
Cambridge,26060
Roxbury,25137
Charlestown,25065
Worcester,24960
Reading,23162
Memphis,22623
Utica,22529
New Bedford,22300
Savannah,22292
Salem,22252
Wilmington,21258
Manchester,20107
Dayton,20081
Paterson,19586
Lynn,19083
Indianapolis,18611
Columbus,18554
Petersburg,18266
